Location,Latitude,Longitude,
The Park Calangute Goa,15.5335,73.7591,
Mackies Saturday Night Bazar,15.5766,73.7619,
Dudhsagar Falls,15.2993,74.124,
Mandrem Beach,15.6631,73.7419,
"Arambol,",15.6871,73.7213,
"Cavelossim,",15.1791,73.9536,
Holiday Inn Resort Goa,15.1573,73.9463,
Snow Park Goa,15.5575,73.7553,
"Candolim Beach, Goa",15.5128,73.7689,
"Panjim,",15.4909,73.8278,
"Palolem Beach, Goa",15.01,74.0232,
Candolim,15.5128,73.7689,
"Calangute Beach, North",15.5494,73.7535,
Thalassa Greek Traverna Restaurant,15.5871,73.7421,
"Chapora Fort,",15.6046,73.737,
"Arambol,",15.6871,73.7213,
"Vagator, Goa",15.603,73.7336,
Baywatch Resort Goa,15.2651,73.9197,
Thalassa Greek Traverna Restaurant,15.5871,73.7421,
Pousada by the Beach,15.5494,73.7535,
Cafe Mambo Goa,15.5553,73.7517,
Doodhsagar Waterfalls.,15.2993,74.124,
"Calangute Beach, Goa",15.5494,73.7535,
Benaulim,15.2443,73.9389,
Kolva Beach Goa,15.2805,73.912,
"Patnem,",14.9969,74.0335,
"Arambol,",15.6871,73.7213,
La Maison Fontainhas,15.4909,73.8278,
Vagator Beach,15.603,73.7336,
Doodhsagar,15.2993,74.124,
Thalassa Greek Traverna Restaurant,15.5871,73.7421,
FAT FISH,15.5723,73.8184,
HillTop Goa,15.5932,73.7424,
"Cavelossim,",15.1791,73.9536,
"Arambol,",15.6871,73.7213,
Thalassa Greek Traverna Restaurant,15.5871,73.7421,
"Calangute Beach, North",15.5494,73.7535,
ibis Styles Goa Calangute,15.5407,73.763,
"Chicolna,",15.3684,73.8463,
Butterfly Beach,15.0196,74.0016,
Butterfly Beach,15.0196,74.0016,
The Leela Goa,15.1569,73.9487,
"Aguada Fort,",15.4926,73.7732,
Doodh Sagar Waterfall,15.2993,74.124,
"Arambol,",15.6871,73.7213,
"Fort Vagator, Goa",15.603,73.7336,
"Anjuna Beach, Goa",15.5733,73.741,
"Chapora Fort,",15.6046,73.737,
Adamo The Bellus,15.5494,73.7535,
"Gokarn, Karnh",14.5479,74.3188,
"Chapora,",15.6046,73.737,
Goa Colva Beach,15.2805,73.912,
"Anjuna Beach, Goa",15.5733,73.741,
The Grand Leoney Resort,15.5723,73.8184,
Sinquerim Beach,15.4991,73.7675,
Goa Mapusa,15.6061,73.8323,
"Mandrem,",15.6631,73.7419,
Old Goa,15.502,73.91,
Morjim Beach Resort,15.6316,73.739,
"The Leela, Goa",15.1569,73.9487,
"Arambol Beach, Goa",15.6847,73.7033,
Dudhsagar Waterfall,15.2993,74.124,
"Arambol,",15.6871,73.7213,
Old Goa Church,15.502,73.91,
Goa,15.2993,74.124,
OM BEACH kumta-gokarna,14.5479,74.3188,
"Gokarn, Karnh",14.5479,74.3188,
Morjim Beach Goa,15.6316,73.739,
Baga Beach,15.5553,73.7517,
"Aguada Fort,",15.4926,73.7732,
"Aguada Fort,",15.4926,73.7732,
Curlies Lodge,15.5695,73.7423,
Paliyem,15.7068,73.7184,
"Sweet lake, Arambol, Goa",15.6979,73.698,
Goa Calangute Beach,15.5494,73.7535,
Anjuna Beach Goa,15.5733,73.741,
Club LPK - Love Passion Karma,15.5141,73.7832,
"Chapora Fort,",15.6046,73.737,
Wildernest Nature Resort-chorla Ghats Goa.,15.6496,74.1189,
"Candolim Beach, Goa",15.5128,73.7689,
Lemon Tree Hotels,15.5128,73.7689,
Basilica of Bom Jesus,15.5009,73.9116,
"Tito's Night Club, Baga Beach,goa",15.5553,73.7517,
Antares Restaurant & Beach Club,15.59447594,73.7350738,
"Pololem,",15.01,74.0232,
South Goa,15.1177,74.124,
Baga Beach,15.5553,73.7517,
Talpona's Paradise House,14.9808,74.0412,
Anjuna,15.5871,73.7421,
Cabo de Rama,15.0888,73.9216,
Goa Calangute Beach,15.5494,73.7535,
"Arambol,",15.6871,73.7213,
Sunny Side Up Restaurant and Bar,15.5128,73.7689,
The Zuri White Sands Goa Resort & Casino,15.2261,73.9314,
Baga Beachs,15.5553,73.7517,
"Chapora Fort,",15.6046,73.737,
Chapora Fort..,15.6046,73.737,
Bogmallo Beach Goa,15.3726,73.8448,
Vagator Beach,15.603,73.7336,
"Panjim,",15.4909,73.8278,
"Arambol,",15.6871,73.7213,
Andrews Beach Cafe,15.5553,73.7517,
"Candolim Beach, Goa",15.5128,73.7689,
"Candolim Beach, Goa",15.5128,73.7689,
"Calangute Beach, North",15.5494,73.7535,
Cancona Beach,15.01,74.0232,
Vagator Beach,15.603,73.7336,
Baga Beach in Goa,15.5553,73.7517,
"Colva,",15.2761,73.9192,
Cabo de Rama,15.0888,73.9216,
"Candolim Beach, Goa",15.5128,73.7689,
Goa Calangute Beach,15.5494,73.7535,
Agonda beach,15.0438,73.9858,
Vagator Beach,15.603,73.7336,
"Aguada Fort,",15.4926,73.7732,
Vagator Beach Goa,15.603,73.7336,
"Aguada Fort,",15.4926,73.7732,
Dona Paula beach Tourism,15.4547,73.8045,
Agonda beach,15.0438,73.9858,
Kumta,14.42,74.4,
Dudhsagar Waterfall,15.2993,74.124,
Colvale,15.2761,73.9192,
"Titto's, GOA",15.5561,73.7521,
Martin's Corner,15.3038,73.9143,
"Mandrem,",15.6631,73.7419,
"Harvalem Water Falls, Goa",15.5583,74.0124,
Kumta,14.42,74.4,
Varca Beach,15.2209,73.929,
"Arambol,",15.6871,73.7213,
Se Cathedral,15.5039,73.9122,
Leela Cottages,15.1569,73.9487,
Cafe Antonio,15.5871,73.7421,
Morjim Beach - Morjim Goa,15.6316,73.739,
Arambol Beach Resort Goa,15.6847,73.7033,
Neelchand by Ciarans,14.9976,74.0411,
"Panjim,",15.4909,73.8278,
Novotel Goa Resort & Spa,15.5266,73.766,
Dudhsagar Falls,15.2993,74.124,
Novotel Goa Resort & Spa,15.5266,73.766,
"Chapora Fort,",15.6046,73.737,
Marbela Beach.,15.6316,73.739,
St Anthony's Karaoke Club And Beach Shack,15.56137883,73.74924365,
Zuri,15.2261,73.9314,
Thalassa,15.5871,73.7421,
Vagator Beach,15.603,73.7336,
Goa Calangute Beach,15.5494,73.7535,
Calem Grove Villas,15.5128,73.7689,
Murudeshwara Temple and Beach,14.09, 74.49,
Baga Beach in Goa,15.5553,73.7517,
Novotel Goa Candolim Hotel,15.5266,73.766,
Majestic Beach Comforts,15.2209,73.929,
"Rock Pool, W Goa",15.6025,73.7369,
"Candolim Beach, Goa",15.5128,73.7689,
"Colva,",15.2761,73.9192,
"Summer Villa, Goa",15.5128,73.7689,
Candolim,15.5128,73.7689,
"Patnem,",14.9969,74.0335,
Cola Beach Goa,15.1177,74.124,
"Anjuna Beach, Goa",15.5733,73.741,
Pousada Ecologica dos Cannyons,15.5494,73.7535,
"Mandrem,",15.6631,73.7419,
Morjim,15.6316,73.739,
"Arambol,",15.6871,73.7213,
Margao City - Goa,15.2832,73.9862,
Basilica of Bom Jesus,15.5009,73.9116,
Martins Corner,15.3038,73.9143,
Aldona Goa Village,15.5933,73.8713,
Majestic Beach Comforts,15.2209,73.929,
Vagator Beach,15.603,73.7336,
"Agonda Fort, Goa",15.0438,73.9858,
Baga Beach,15.5553,73.7517,
Morjim,15.6316,73.739,
"Coco Beach, Goa",15.4988,73.786,
Palolem beach Goa,15.01,74.0232,
Palolem beach Goa,15.01,74.0232,
"Calangute Beach, North",15.5494,73.7535,
Garden of Dreams Goa,15.688,73.706,
"Colva,",15.2761,73.9192,
"Summer Villa, Goa",15.5128,73.7689,
Candolim,15.5128,73.7689,
Candolim,15.5128,73.7689,
Patnem,14.9969,74.0335,
Cola Beach Goa,15.1177,74.124,
"Anjuna Beach, Goa",15.5733,73.741,
Pousada Ecologica dos Cannyons,15.5494,73.7535,
"Mandrem,",15.6631,73.7419,
Morjim,15.6316,73.739,
"Arambol,",15.6871,73.7213,
Margao City - Goa,15.2832,73.9862,
Basilica of Bom Jesus,15.5009,73.9116,
Martins Corner,15.3038,73.9143,
Aldona Goa Village,15.5933,73.8713,
Majestic Beach Comforts,15.2209,73.929,
Vagator Beach,15.603,73.7336,
"Agonda Fort, Goa",15.0438,73.9858,
Baga Beach,15.5553,73.7517,
Morjim,15.6316,73.739,
"Coco Beach, Goa",15.4988,73.786,
Palolem beach Goa,15.01,74.0232,
Palolem beach Goa,15.01,74.0232,
"Calangute Beach, North",15.5494,73.7535,
Garden of Dreams Goa,15.688,73.706,
W GOA,15.6025,73.7369,
"Arambol,",15.6871,73.7213,
Morjim,15.6316,73.739,
Morjim Beach - Morjim Goa,15.6316,73.739,
Vagator,15.603,73.7336,
Cabo de Rama,15.0888,73.9216,
Arambol,15.6871,73.7213,
Anjuna Beach Goa,15.5733,73.741,
Morjim Beach - Morjim Goa,15.6316,73.739,
Ciel Goa,15.6366,73.7215,
Garden of Dreams Goa,15.688,73.706,
Morjim,15.6316,73.739,
Majestic Beach Comforts,15.2209,73.929,
Keri Beach Goa,15.708,73.6942,
